,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
11,683.0,459.9,364.8,309.6,258.1,258.1,216.3,216.3,178.5,178.5,178.5,178.5,148.4,148.4,148.4,148.4,121.8,121.8,121.8,121.8,121.8,121.8,121.8,121.8,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3
12,659.8,444.2,352.4,299.1,249.4,249.4,208.9,208.9,172.4,172.4,172.4,172.4,143.4,143.4,143.4,143.4,117.7,117.7,117.7,117.7,117.7,117.7,117.7,117.7,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
13,637.3,429.1,340.4,288.9,240.9,240.9,201.8,201.8,166.5,166.5,166.5,166.5,138.5,138.5,138.5,138.5,113.7,113.7,113.7,113.7,113.7,113.7,113.7,113.7,94.2,94.2,94.2,94.2,94.2,94.2,94.2,94.2,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7
14,615.6,414.4,328.8,279.0,232.7,232.7,194.9,194.9,160.9,160.9,160.9,160.9,133.8,133.8,133.8,133.8,109.8,109.8,109.8,109.8,109.8,109.8,109.8,109.8,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6
15,594.6,400.3,317.6,269.5,224.7,224.7,188.3,188.3,155.4,155.4,155.4,155.4,129.2,129.2,129.2,129.2,106.1,106.1,106.1,106.1,106.1,106.1,106.1,106.1,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5
16,574.3,386.7,306.8,260.3,217.1,217.1,181.9,181.9,150.1,150.1,150.1,150.1,124.8,124.8,124.8,124.8,102.4,102.4,102.4,102.4,102.4,102.4,102.4,102.4,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4
17,554.8,373.5,296.3,251.5,209.7,209.7,175.7,175.7,145.0,145.0,145.0,145.0,120.6,120.6,120.6,120.6,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5
18,535.9,360.8,286.3,242.9,202.5,202.5,169.7,169.7,140.0,140.0,140.0,140.0,116.5,116.5,116.5,116.5,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6
19,517.6,348.5,276.5,234.6,195.6,195.6,163.9,163.9,135.3,135.3,135.3,135.3,112.5,112.5,112.5,112.5,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8
20,500.0,336.6,267.1,226.6,189.0,189.0,158.3,158.3,130.7,130.7,130.7,130.7,108.7,108.7,108.7,108.7,89.2,89.2,89.2,89.2,89.2,89.2,89.2,89.2,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
21,483.0,325.2,258.0,218.9,182.5,182.5,152.9,152.9,126.2,126.2,126.2,126.2,105.0,105.0,105.0,105.0,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3
22,466.5,314.1,249.2,211.5,176.3,176.3,147.7,147.7,121.9,121.9,121.9,121.9,101.4,101.4,101.4,101.4,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7
23,450.6,303.4,240.7,204.3,170.3,170.3,142.7,142.7,117.8,117.8,117.8,117.8,97.9,97.9,97.9,97.9,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1
24,435.3,293.1,232.5,197.3,164.5,164.5,137.8,137.8,113.7,113.7,113.7,113.7,94.6,94.6,94.6,94.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5
25,420.4,283.1,224.6,190.6,158.9,158.9,133.1,133.1,109.9,109.9,109.9,109.9,91.4,91.4,91.4,91.4,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
26,406.1,273.4,216.9,184.1,153.5,153.5,128.6,128.6,106.1,106.1,106.1,106.1,88.3,88.3,88.3,88.3,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6
27,392.3,264.1,209.6,177.8,148.3,148.3,124.2,124.2,102.5,102.5,102.5,102.5,85.3,85.3,85.3,85.3,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2
28,378.9,255.1,202.4,171.8,143.2,143.2,120.0,120.0,99.0,99.0,99.0,99.0,82.4,82.4,82.4,82.4,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9
29,366.0,246.4,195.5,165.9,138.3,138.3,115.9,115.9,95.6,95.6,95.6,95.6,79.6,79.6,79.6,79.6,65.3,65.3,65.3,65.3,65.3,65.3,65.3,65.3,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6
30,353.6,238.0,188.9,160.3,133.6,133.6,111.9,111.9,92.4,92.4,92.4,92.4,76.8,76.8,76.8,76.8,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,52.3,52.3,52.3,52.3,52.3,52.3,52.3,52.3,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4
31,341.5,229.9,182.4,154.8,129.1,129.1,108.1,108.1,89.2,89.2,89.2,89.2,74.2,74.2,74.2,74.2,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2
32,329.9,222.1,176.2,149.5,124.7,124.7,104.4,104.4,86.2,86.2,86.2,86.2,71.7,71.7,71.7,71.7,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,48.8,48.8,48.8,48.8,48.8,48.8,48.8,48.8,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
33,318.6,214.5,170.2,144.4,120.4,120.4,100.9,100.9,83.3,83.3,83.3,83.3,69.3,69.3,69.3,69.3,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9
34,307.8,207.2,164.4,139.5,116.3,116.3,97.5,97.5,80.4,80.4,80.4,80.4,66.9,66.9,66.9,66.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8
35,297.3,200.2,158.8,134.8,112.4,112.4,94.1,94.1,77.7,77.7,77.7,77.7,64.6,64.6,64.6,64.6,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7
36,287.2,193.3,153.4,130.2,108.5,108.5,90.9,90.9,75.0,75.0,75.0,75.0,62.4,62.4,62.4,62.4,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7
37,277.4,186.8,148.2,125.7,104.8,104.8,87.8,87.8,72.5,72.5,72.5,72.5,60.3,60.3,60.3,60.3,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7
38,267.9,180.4,143.1,121.5,101.3,101.3,84.8,84.8,70.0,70.0,70.0,70.0,58.2,58.2,58.2,58.2,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8
39,258.8,174.3,138.3,117.3,97.8,97.8,81.9,81.9,67.6,67.6,67.6,67.6,56.3,56.3,56.3,56.3,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9
40,250.0,168.3,133.5,113.3,94.5,94.5,79.2,79.2,65.3,65.3,65.3,65.3,54.3,54.3,54.3,54.3,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
41,241.5,162.6,129.0,109.5,91.3,91.3,76.5,76.5,63.1,63.1,63.1,63.1,52.5,52.5,52.5,52.5,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1
42,233.3,157.0,124.6,105.7,88.2,88.2,73.9,73.9,61.0,61.0,61.0,61.0,50.7,50.7,50.7,50.7,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3
43,225.3,151.7,120.4,102.1,85.2,85.2,71.3,71.3,58.9,58.9,58.9,58.9,49.0,49.0,49.0,49.0,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
44,217.6,146.5,116.3,98.7,82.3,82.3,68.9,68.9,56.9,56.9,56.9,56.9,47.3,47.3,47.3,47.3,38.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8
45,210.2,141.5,112.3,95.3,79.5,79.5,66.6,66.6,54.9,54.9,54.9,54.9,45.7,45.7,45.7,45.7,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
46,203.1,136.7,108.5,92.0,76.7,76.7,64.3,64.3,53.1,53.1,53.1,53.1,44.1,44.1,44.1,44.1,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
47,196.1,132.1,104.8,88.9,74.1,74.1,62.1,62.1,51.3,51.3,51.3,51.3,42.6,42.6,42.6,42.6,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6
48,189.5,127.6,101.2,85.9,71.6,71.6,60.0,60.0,49.5,49.5,49.5,49.5,41.2,41.2,41.2,41.2,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9
49,183.0,123.2,97.8,83.0,69.2,69.2,57.9,57.9,47.8,47.8,47.8,47.8,39.8,39.8,39.8,39.8,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3
50,176.8,119.0,94.4,80.1,66.8,66.8,56.0,56.0,46.2,46.2,46.2,46.2,38.4,38.4,38.4,38.4,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7
51,170.8,115.0,91.2,77.4,64.5,64.5,54.1,54.1,44.6,44.6,44.6,44.6,37.1,37.1,37.1,37.1,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1
52,164.9,111.0,88.1,74.8,62.3,62.3,52.2,52.2,43.1,43.1,43.1,43.1,35.8,35.8,35.8,35.8,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
